model,object_id,target_band,n_train_target_band,n_train_other_bands,n_heldout_target_band,heldout_indices,rmse,nrmse,crps,ncrps,object_flux_scale,nlpd,coverage_1sigma,coverage_2sigma,coverage_3sigma,z_score_mean,z_score_std,pit,notes,shuffle_repeat
mogp_target_only,15406344,r,18,0,5,[ 0 13 15 17 19],2.5263017397921934,0.5023039704196779,1.979874253272969,0.39365792402633265,5.0294281721115075,2.87281213721044,1.0,1.0,1.0,0.12202300110463608,0.37359632595537845,[0.61053751 0.70924374 0.53064319 0.28734305 0.60352998],,
mogp_real_wavelength,15406344,r,18,27,5,[ 0 13 15 17 19],2.6406256333310827,0.525034962816154,1.9308915951164374,0.3839187138258285,5.0294281721115075,2.786736435878567,1.0,1.0,1.0,-0.0650289001125498,0.49712397671376685,[0.56009215 0.71878039 0.59494068 0.25096003 0.26619204],,
mogp_independent_band_control,15406344,r,18,27,5,[ 0 13 15 17 19],2.455665254674752,0.4882593349859471,1.8553873597271848,0.3689062247703274,5.0294281721115075,2.807835933170235,1.0,1.0,1.0,0.12614406788809612,0.3932258035232244,[0.60886967 0.71668686 0.52576368 0.27729406 0.62080396],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,15406344,r,18,27,5,[ 0 13 15 17 19],2.736594433250633,0.5441164163403743,1.9804103371469561,0.3937645134547213,5.0294281721115075,2.821974344158529,1.0,1.0,1.0,-0.06378606574316996,0.491811768098062,[0.57174048 0.71773603 0.57442551 0.30645408 0.22434752],,0.0
mogp_shuffled_wavelength_control_seed1,15406344,r,18,27,5,[ 0 13 15 17 19],2.1896386960259084,0.4353653379856564,1.7502678726591552,0.3480053423099866,5.0294281721115075,2.7259343263519002,1.0,1.0,1.0,-0.06258425236510652,0.42778638749063863,[0.56887262 0.70359438 0.5175587  0.35356054 0.24525605],,1.0
mogp_shuffled_wavelength_control_seed2,15406344,r,18,27,5,[ 0 13 15 17 19],2.5972689025641302,0.5164143544123263,1.8914694547275932,0.3760804190853961,5.0294281721115075,2.7641763081475665,1.0,1.0,1.0,-0.10232722510305203,0.47929241891196744,[0.56525935 0.70721598 0.53701617 0.24052321 0.27108925],,2.0
mogp_shuffled_wavelength_control_seed3,15406344,r,18,27,5,[ 0 13 15 17 19],2.163307498029226,0.4301299121886064,1.763836998943568,0.35070328844224363,5.0294281721115075,2.7363468497195753,1.0,1.0,1.0,-0.06327854406809749,0.4223061031819941,[0.56096493 0.70290804 0.51939915 0.35627998 0.2473612 ],,3.0
mogp_shuffled_wavelength_control_seed4,15406344,r,18,27,5,[ 0 13 15 17 19],2.6344701368478347,0.5238110669233007,1.8734051401885992,0.3724886957481066,5.0294281721115075,2.75869921521621,1.0,1.0,1.0,-0.018615920945157172,0.46882511989246783,[0.59632467 0.71905819 0.58520086 0.25469153 0.31832457],,4.0
same_total_train_budget_existing,15406344,r,5,13,5,[ 0 13 15 17 19],2.5743700465503063,0.5118613803504241,1.4813876021551686,0.2945439424643849,5.0294281721115075,2.4007261345841444,0.6,1.0,1.0,0.015476968207096764,0.7592580737664307,[0.59154116 0.85067591 0.64078005 0.37335645 0.10915564],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,61099873,r,16,0,5,[ 3  4  5  9 10],3.654555090308607,0.5359622747342718,2.059843321953484,0.30208829396444037,6.818679714202874,2.754487204910429,0.8,1.0,1.0,0.49426235106008526,0.5260844382754037,[0.92335056 0.57687205 0.52456292 0.76465969 0.52649309],,
mogp_target_only,61099873,r,16,0,5,[ 3  4  5  9 10],3.6545543831266816,0.5359621710218296,2.0598428758256966,0.3020882285371427,6.818679714202874,2.754487008548252,0.8,1.0,1.0,0.49426224414452513,0.5260841782669884,[0.92335049 0.5768722  0.52456304 0.76465955 0.52649298],,
mogp_real_wavelength,61099873,r,16,24,5,[ 3  4  5  9 10],4.845279466742402,0.7105890978645022,2.633445066900324,0.3862104068937314,6.818679714202874,2.825067722223925,0.4,1.0,1.0,-0.23226519167124918,0.9220629806340832,[0.87946765 0.15034306 0.15564113 0.71471904 0.19672388],,
mogp_independent_band_control,61099873,r,16,24,5,[ 3  4  5  9 10],4.686335166709742,0.6872789694093425,2.9470298190521778,0.4321994788688642,6.818679714202874,3.12333359363166,0.8,1.0,1.0,0.5996741207809688,0.42318702384132745,[0.89281215 0.62387017 0.56899326 0.83261533 0.61894949],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,61099873,r,16,24,5,[ 3  4  5  9 10],4.754952923516833,0.6973421722115163,2.5954382981009405,0.3806364878371994,6.818679714202874,2.8169726657682306,0.8,1.0,1.0,-0.22692318709471215,0.9076535797464027,[0.87495759 0.16022671 0.16464283 0.7163225  0.18736982],,0.0
mogp_shuffled_wavelength_control_seed1,61099873,r,16,24,5,[ 3  4  5  9 10],4.973366639715552,0.7293738448157856,2.660230507298417,0.3901386512930541,6.818679714202874,2.825968867349048,0.4,1.0,1.0,-0.19964854895393075,0.9191859929301959,[0.8904415  0.15523818 0.15159041 0.70678208 0.23352991],,1.0
mogp_shuffled_wavelength_control_seed2,61099873,r,16,24,5,[ 3  4  5  9 10],4.1949606362822776,0.6152159673293413,2.358768594982173,0.3459274659974142,6.818679714202874,2.7724432838601105,0.8,1.0,1.0,-0.09969606233301335,0.8601733034247853,[0.89636744 0.22831113 0.22818918 0.71789884 0.19850627],,2.0
