object_id,obj_type,band,n_test,rmse,mae,sigma_rms,sigma_mean,sigma_median,sigma_q90,z_mean,z_std,z_error,mean_abs_z,rmse_sigma_ratio,mae_sigma_ratio
70025523,AGN,r,5,0.11859962734938322,0.09240999955222054,0.1853191216424781,0.12191461087275154,0.0783803960484768,0.27598342365028355,0.0234948296491825,1.1200437004386377,0.12004370043863766,1.07135578454884,0.6399751212839673,1.1789937817495424
71829905,TDE,r,5,0.18893414811077444,0.17894035413217885,0.19357190868456012,0.18637070046986795,0.16973925801768383,0.24722695602688236,0.012981859732032253,1.046127377486228,0.04612737748622808,0.9965750389093498,0.9760411487115971,1.0542072365694943
53627887,SNII,r,5,0.03920161193655827,0.03167577004076595,0.38496231171560985,0.3642229683002481,0.42669081250130003,0.483001531081116,-0.08590376458215573,0.06255474014487271,-0.9374452598551273,0.08590376458215573,0.10183233720166972,0.07423588489070043
83557064,AGN,r,5,0.060707750438351554,0.050841570609284584,0.15459952903494034,0.12291376184383218,0.053070036152396374,0.24007792663893357,0.3015990359185881,0.9538017886693393,-0.04619821133066071,0.7666633624350025,0.39267746038625556,0.9580089688141061
87833938,SNIbc,r,5,0.09838494181001196,0.07222512022157881,0.22088338974085234,0.21042850998421936,0.22677756080415154,0.2620222904489088,-0.54112488112767,0.8625521321863527,-0.13744786781364726,0.602080404203534,0.44541575500738384,0.31848442132223787
106341515,SLSN-I,r,5,0.033942710523054254,0.028359996049519942,0.06300338285934065,0.05790904122421673,0.058310921234454666,0.08608397185636686,-0.4262569013572789,0.5683172251925993,-0.4316827748074007,0.5863745326516455,0.5387442543971594,0.4863582232818958
121257780,KN,r,5,0.24156473163431202,0.17097905136230615,0.7790606212770771,0.6456564602041464,0.3853728706456503,1.1835679895052844,-0.17756513298514176,0.47874987783656475,-0.5212501221634352,0.3574483422614637,0.3100718031907792,0.4436717381684117
125545259,SNII,r,6,0.07170007928044549,0.05371330741451789,0.16806437860840223,0.10107400603364736,0.032524283336286985,0.24510711337890956,-0.6065818379283808,0.9443724733940774,-0.05562752660592263,0.8699937673152524,0.42662270181303547,1.6514831966978514
4413277,RRL,r,5,0.5593693994613987,0.5230314450421304,0.7013207810813569,0.6673381297659493,0.7532898990194258,0.8356531063846214,0.2734292896490167,1.0889762055783705,0.08897620557837049,0.956952153989883,0.7975942172979884,0.6943295611994427
42821845,TDE,r,5,0.08503958125584601,0.05925647992535308,0.16038496325813215,0.12005977031255673,0.049173936561676145,0.2542338732049482,-0.05741767800779218,0.48944489171620215,-0.5105551082837978,0.46246408670923334,0.5302216587410302,1.205038361145461
45131816,SNII,r,5,0.09850389516137698,0.08717363322557647,0.21846245539679301,0.20166424676440445,0.19767181744504525,0.3002144965963297,0.2658317549073824,0.5158982991367267,-0.4841017008632733,0.5105136185001123,0.45089621913506606,0.441001829964009
